,drug
0,db00036
1,db00039
2,db00056
3,db00071
4,db00091
5,db00114
6,db00115
7,db00116
8,db00118
9,db00119
10,db00120
11,db00122
12,db00125
13,db00126
14,db00127
15,db00128
16,db00129
17,db00130
18,db00131
19,db00132
20,db00133
21,db00134
22,db00135
23,db00139
24,db00141
25,db00142
26,db00143
27,db00144
28,db00145
29,db00149
30,db00151
31,db00153
32,db00155
33,db00157
34,db00159
35,db00160
36,db00162
37,db00163
38,db00167
39,db00168
40,db00169
41,db00170
42,db00171
43,db00172
44,db00175
45,db00176
46,db00182
47,db00184
48,db00186
49,db00189
50,db00191
51,db00193
52,db00197
53,db00198
54,db00199
55,db00200
56,db00201
57,db00203
58,db00206
59,db00208
60,db00210
61,db00213
62,db00214
63,db00215
64,db00216
65,db00217
66,db00227
67,db00228
68,db00231
69,db00237
70,db00241
71,db00242
72,db00243
73,db00244
74,db00245
75,db00246
76,db00247
77,db00248
78,db00252
79,db00255
80,db00257
81,db00264
82,db00268
83,db00270
84,db00273
85,db00275
86,db00277
87,db00279
88,db00280
89,db00281
90,db00285
91,db00286
92,db00289
93,db00292
94,db00295
95,db00304
96,db00306
97,db00307
98,db00308
99,db00311
100,db00312
101,db00313
102,db00315
103,db00316
104,db00317
105,db00318
106,db00320
107,db00321
108,db00327
109,db00328
110,db00332
111,db00333
112,db00334
113,db00338
114,db00342
115,db00343
116,db00347
117,db00349
118,db00356
119,db00358
120,db00363
121,db00364
122,db00367
123,db00368
124,db00370
125,db00371
126,db00379
127,db00381
128,db00390
129,db00393
130,db00395
131,db00396
132,db00397
133,db00398
134,db00401
135,db00402
136,db00404
137,db00408
138,db00409
139,db00411
140,db00412
141,db00413
142,db00415
143,db00418
144,db00420
145,db00421
146,db00425
147,db00431
148,db00432
149,db00434
150,db00435
151,db00436
152,db00437
153,db00439
154,db00440
155,db00441
156,db00444
157,db00448
158,db00451
159,db00454
160,db00455
161,db00457
162,db00458
163,db00459
164,db00463
165,db00466
166,db00468
167,db00470
168,db00471
