,protein
984,9606.ensp00000364709
985,9606.ensp00000364731
986,9606.ensp00000233838
987,9606.ensp00000410294
988,9606.ensp00000393312
989,9606.ensp00000339824
990,9606.ensp00000385035
991,9606.ensp00000303830
992,9606.ensp00000268035
993,9606.ensp00000236671
994,9606.ensp00000419425
995,9606.ensp00000318868
996,9606.ensp00000359539
997,9606.ensp00000234111
998,9606.ensp00000379845
999,9606.ensp00000399415
1000,9606.ensp00000216392
1001,9606.ensp00000302620
1002,9606.ensp00000443459
1003,9606.ensp00000322991
1004,9606.ensp00000164139
1005,9606.ensp00000403644
1006,9606.ensp00000355536
1007,9606.ensp00000365777
1008,9606.ensp00000236959
1009,9606.ensp00000354511
1010,9606.ensp00000320171
1011,9606.ensp00000465734
1012,9606.ensp00000261187
1013,9606.ensp00000463978
1014,9606.ensp00000441065
1015,9606.ensp00000370571
1016,9606.ensp00000448059
1017,9606.ensp00000303211
1018,9606.ensp00000264381
1019,9606.ensp00000407546
1020,9606.ensp00000327251
1021,9606.ensp00000297494
1022,9606.ensp00000376776
1023,9606.ensp00000355601
1024,9606.ensp00000264162
1025,9606.ensp00000420194
1026,9606.ensp00000358301
1027,9606.ensp00000305372
1028,9606.ensp00000333019
1029,9606.ensp00000381057
1030,9606.ensp00000261267
1031,9606.ensp00000349446
1032,9606.ensp00000379895
1033,9606.ensp00000307900
1034,9606.ensp00000332116
1035,9606.ensp00000362608
1036,9606.ensp00000345502
1037,9606.ensp00000304229
1038,9606.ensp00000408025
1039,9606.ensp00000286621
1040,9606.ensp00000384763
1041,9606.ensp00000459962
1042,9606.ensp00000385523
1043,9606.ensp00000447149
1044,9606.ensp00000310928
1045,9606.ensp00000287820
1046,9606.ensp00000419692
1047,9606.ensp00000325312
1048,9606.ensp00000362576
1049,9606.ensp00000264932
1050,9606.ensp00000369055
1051,9606.ensp00000280612
1052,9606.ensp00000360608
1053,9606.ensp00000263269
1054,9606.ensp00000477455
1055,9606.ensp00000293190
1056,9606.ensp00000234389
1057,9606.ensp00000428994
1058,9606.ensp00000355155
1059,9606.ensp00000379818
1060,9606.ensp00000397026
1061,9606.ensp00000296526
1062,9606.ensp00000481554
1063,9606.ensp00000216951
1064,9606.ensp00000221130
1065,9606.ensp00000311469
1066,9606.ensp00000358851
1067,9606.ensp00000381607
1068,9606.ensp00000407375
1069,9606.ensp00000362463
1070,9606.ensp00000295256
1071,9606.ensp00000420168
1072,9606.ensp00000335620
1073,9606.ensp00000285930
1074,9606.ensp00000361405
1075,9606.ensp00000337915
1076,9606.ensp00000408695
1077,9606.ensp00000264428
1078,9606.ensp00000274093
1079,9606.ensp00000411593
1080,9606.ensp00000243389
1081,9606.ensp00000302111
1082,9606.ensp00000447173
1083,9606.ensp00000477999
1084,9606.ensp00000199936
1085,9606.ensp00000296412
1086,9606.ensp00000358421
1087,9606.ensp00000370254
1088,9606.ensp00000316786
1089,9606.ensp00000261733
